Respondent_ID,Q1_Age,Q2_Gender,Q3_MaritalStatus,Q4_Employment,Q5_Income,Q6_TripsPerYear,Q7_HolidayType,Q8_Budget,Q9_Priorities,Q10_BookingAdvance,Q11_InfoSources,Q12_BookingPreference,Q13_Accommodation,Q14_Africa,Q14_EAsia,Q14_Europe,Q14_NAmerica,Q14_Oceania,Q14_SAmerica,Q14_SEAsia,Q15_Customization,Q16_AdventureInterest,Q17_CustomServices,Q18_TechTrends,Q19_FuturePriorities
146,46,Male,In a relationship/ Partnered,Employed full-time,"A$150,000 or more",3-5 times,Cultural,"5,796",Safety,More than 6 months,Guidebooks,I prefer a mix of both.,Hotel,No,No,No,No,No,No,No,Important,Very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
147,46,Female,In a relationship/ Partnered,Employed part-time,"A$30,000-A$59,999",0,Cultural,"6,177",Price,Within 1 week,Friends and family,I prefer to plan everything myself.,Hostel,No,Yes,No,No,No,Yes,No,Not important at all,Neutral,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
148,46,Male,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Adventure,"5,202","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel agents,I prefer a mix of both.,Camping/ RV,No,Yes,No,No,Yes,No,Yes,Slightly important,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
149,46,Male,Married,Employed full-time,"Less than A$30,000",1-2 time(s),Relaxation,"3,023",Activities/ Attractions,More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,Yes,Yes,No,No,Yes,Slightly important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
150,47,Female,In a relationship/ Partnered,Unemployed,"A$150,000 or more",3-5 times,Urban,"5,092",Food/ Cuisine,More than 6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,Yes,No,Yes,No,No,Important,Not interested at all,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
151,47,Male,Single,Unemployed,"Less than A$30,000",3-5 times,Adventure,"4,587",Safety,More than 6 months,Travel agents,I prefer a mix of both.,Camping/ RV,No,Yes,No,No,Yes,Yes,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
152,47,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",6 times or more,Cultural,"4,272",Activities/ Attractions,More than 6 months,Travel agents,I prefer package tours.,Hostel,No,No,No,Yes,Yes,No,No,Extremely important,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
153,47,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"8,741","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Guidebooks,I prefer a mix of both.,Hotel,No,No,No,No,No,No,No,Not important at all,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
154,48,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",3-5 times,Urban,"1,148",Price,More than 6 months,Travel agents,I prefer to plan everything myself.,Camping/ RV,No,No,No,Yes,No,Yes,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
155,48,Female,Divorced/ Separated,Student,"A$150,000 or more",1-2 time(s),Urban,"6,530","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,Yes,Yes,No,No,No,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
156,48,Female,Divorced/ Separated,Self-employed,"A$150,000 or more",3-5 times,Cultural,"2,207","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Guidebooks,I prefer a mix of both.,Staying with friends or family,No,No,No,No,No,No,Yes,Important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
157,48,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"4,336",Price,More than 6 months,Guidebooks,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,No,Yes,Important,Very interested,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
158,48,Female,Married,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"3,613",Activities/ Attractions,1-4 weeks,Travel agents,I prefer a mix of both.,Camping/ RV,No,No,Yes,No,Yes,No,Yes,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
159,48,Female,Single,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"3,078",Safety,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,Yes,Slightly important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
160,48,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"1,864",Food/ Cuisine,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,Yes,No,No,No,No,Neutral,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
161,49,Female,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"3,221",Safety,3-6 months,Travel agents,I prefer to plan everything myself.,Staying with friends or family,No,No,No,Yes,No,No,No,Slightly important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
162,49,Male,Married,Employed full-time,"Less than A$30,000",1-2 time(s),Cultural,"4,307",Food/ Cuisine,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,Yes,No,Yes,Yes,Yes,No,Slightly important,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
163,49,Male,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"3,640",Safety,More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,Yes,Yes,Yes,No,No,No,Neutral,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
164,49,Female,In a relationship/ Partnered,Employed full-time,"A$150,000 or more",3-5 times,Cultural,"4,579",Food/ Cuisine,Within 1 week,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,Camping/ RV,No,Yes,No,No,No,No,No,Slightly important,Not interested at all,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
165,49,Male,Married,Unemployed,"Less than A$30,000",0,Urban,"3,631",Activities/ Attractions,More than 6 months,Guidebooks,I prefer a mix of both.,Hostel,No,No,No,Yes,Yes,Yes,No,Slightly important,Not very interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
166,50,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"4,369","Flexibility (e.g., flight times, cancellation policies)",1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,Yes,No,No,No,Neutral,Neutral,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
167,50,Male,Married,Student,"A$150,000 or more",3-5 times,Cultural,"4,978",Food/ Cuisine,More than 6 months,Travel agents,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,Yes,Important,Neutral,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
168,50,Male,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",0,Cultural,"4,751",Food/ Cuisine,3-6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,No,No,No,Slightly important,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
169,50,Male,Divorced/ Separated,Employed full-time,"A$30,000-A$59,999",0,Adventure,"8,135",Price,3-6 months,Friends and family,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",Yes,No,Yes,No,Yes,No,No,Slightly important,Not interested at all,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
170,51,Male,Widowed,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Relaxation,"1,354",Safety,3-6 months,Guidebooks,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,Yes,Slightly important,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
171,51,Male,Married,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Urban,"4,142",Culture/ Local experience,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,No,Yes,No,Yes,No,Neutral,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
172,51,Male,Married,Employed full-time,"A$150,000 or more",3-5 times,Cultural,"3,662","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,Yes,Yes,No,No,Yes,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
173,51,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"1,840",Safety,More than 6 months,Travel agents,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,Yes,Not important at all,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
174,51,Male,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",0,Relaxation,"2,478",Safety,3-6 months,"Social media (e.g., Instragram, TikTok)",I prefer package tours.,Camping/ RV,No,Yes,Yes,No,Yes,No,No,Not important at all,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
175,52,Female,Widowed,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"1,929",Activities/ Attractions,3-6 months,Travel agents,I prefer package tours.,Hostel,No,No,No,Yes,No,No,No,Neutral,Somewhat interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
176,52,Female,Married,Unemployed,"A$100,000-A$149,999",3-5 times,Adventure,"8,902",Price,More than 6 months,Travel agents,I prefer a mix of both.,Hotel,No,No,Yes,No,Yes,No,Yes,Neutral,Very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
177,52,Male,Married,Unemployed,"A$30,000-A$59,999",0,Urban,"4,299","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,Yes,No,Slightly important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
178,52,Female,In a relationship/ Partnered,Student,"A$100,000-A$149,999",1-2 time(s),Relaxation,"5,343",Ease of planning/ Convenience,More than 6 months,Friends and family,I prefer to plan everything myself.,Hotel,No,Yes,Yes,No,No,No,Yes,Slightly important,Somewhat interested,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
179,52,Male,Widowed,Unemployed,"A$30,000-A$59,999",1-2 time(s),Urban,"4,538",Price,More than 6 months,Guidebooks,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,Yes,Yes,Neutral,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
180,52,Female,Divorced/ Separated,Unemployed,"A$60,000-A$99,999",1-2 time(s),Adventure,"4,217",Safety,More than 6 months,Friends and family,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,No,Yes,Neutral,Not interested at all,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
181,52,Male,Married,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"5,203",Ease of planning/ Convenience,3-6 months,"Search engines (e.g., Google)",I prefer package tours.,Staying with friends or family,No,No,No,No,No,No,No,Slightly important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
182,52,Female,In a relationship/ Partnered,Student,"A$30,000-A$59,999",3-5 times,Adventure,"5,168",Ease of planning/ Convenience,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,No,No,Yes,Slightly important,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
183,52,Male,Married,Student,"A$100,000-A$149,999",1-2 time(s),Cultural,"8,563",Safety,3-6 months,Friends and family,I prefer package tours.,Hotel,No,No,No,Yes,No,No,No,Important,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
184,53,Male,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"2,294","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Friends and family,I prefer to plan everything myself.,Camping/ RV,No,No,No,No,No,Yes,No,Neutral,Not very interested,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
185,53,Male,In a relationship/ Partnered,Self-employed,"Less than A$30,000",1-2 time(s),Cultural,"2,917","Flexibility (e.g., flight times, cancellation policies)",More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,Camping/ RV,No,No,Yes,No,No,Yes,Yes,Not important at all,Very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
186,53,Female,Single,Employed full-time,"A$60,000-A$99,999",6 times or more,Adventure,"9,178",Food/ Cuisine,3-6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
187,53,Female,Married,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"6,793",Activities/ Attractions,Within 1 week,Travel agents,I prefer to plan everything myself.,Staying with friends or family,No,Yes,No,No,No,No,No,Neutral,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
188,54,Male,Single,Student,"A$150,000 or more",1-2 time(s),Cultural,"4,713",Ease of planning/ Convenience,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,No,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
189,54,Male,Married,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"1,781","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,Hotel,No,No,No,No,No,No,Yes,Slightly important,Not very interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
190,54,Male,Widowed,Student,"A$100,000-A$149,999",6 times or more,Cultural,"1,660",Activities/ Attractions,More than 6 months,Guidebooks,I prefer package tours.,Hotel,No,No,Yes,No,No,No,Yes,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
191,54,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"5,681",Price,3-6 months,Friends and family,I prefer package tours.,Hotel,No,No,No,No,No,No,No,Neutral,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
192,54,Female,In a relationship/ Partnered,Employed part-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"5,527",Safety,Within 1 week,Travel agents,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,Yes,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
193,55,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Cultural,"4,096",Culture/ Local experience,More than 6 months,Guidebooks,I prefer a mix of both.,Hotel,No,Yes,Yes,Yes,Yes,Yes,No,Slightly important,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
194,55,Male,Divorced/ Separated,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"2,995","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,Yes,No,Yes,Yes,No,Slightly important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
195,55,Female,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",3-5 times,Adventure,"3,746",Price,1-4 weeks,Travel agents,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,No,Important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
196,55,Male,Divorced/ Separated,Student,"A$100,000-A$149,999",3-5 times,Cultural,"4,550",Price,More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,Hotel,No,No,No,No,No,No,No,Important,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
197,55,Male,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Urban,"2,168",Activities/ Attractions,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,No,No,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
198,55,Male,In a relationship/ Partnered,Employed part-time,"A$30,000-A$59,999",0,Cultural,"3,721","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Friends and family,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Slightly important,Not interested at all,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
199,56,Male,In a relationship/ Partnered,Retired,"A$60,000-A$99,999",3-5 times,Cultural,"6,269",Safety,1-4 weeks,Travel agents,I prefer to plan everything myself.,Camping/ RV,Yes,Yes,No,Yes,No,Yes,No,Important,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
200,56,Male,Divorced/ Separated,Employed full-time,"A$150,000 or more",3-5 times,Adventure,"4,932","Flexibility (e.g., flight times, cancellation policies)",3-6 months,Travel agents,I prefer a mix of both.,Hostel,No,No,No,Yes,No,No,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
201,57,Female,Widowed,Unemployed,"A$30,000-A$59,999",0,Cultural,"2,067",Food/ Cuisine,More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,Camping/ RV,No,No,No,No,No,Yes,Yes,Slightly important,Neutral,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
202,57,Female,Married,Employed full-time,"A$150,000 or more",3-5 times,Urban,"6,067",Safety,3-6 months,Guidebooks,I prefer package tours.,Staying with friends or family,No,No,No,Yes,Yes,Yes,No,Neutral,Not interested at all,Flexible payment plans or advanced budgeting tools,"Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
203,58,Female,In a relationship/ Partnered,Retired,"A$60,000-A$99,999",1-2 time(s),Relaxation,"3,377",Activities/ Attractions,1-4 weeks,Travel agents,I prefer a mix of both.,Camping/ RV,No,Yes,No,Yes,No,No,No,Slightly important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
204,58,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Adventure,"6,092",Price,3-6 months,Travel blogs/ Websites,I prefer package tours.,Camping/ RV,No,Yes,No,Yes,No,No,No,Slightly important,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
205,58,Male,Divorced/ Separated,Employed full-time,"A$150,000 or more",3-5 times,Cultural,"7,763",Safety,Within 1 week,Travel agents,I prefer package tours.,Hotel,No,Yes,No,Yes,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
206,58,Female,Divorced/ Separated,Unemployed,"A$60,000-A$99,999",1-2 time(s),Cultural,"3,953",Food/ Cuisine,More than 6 months,"Social media (e.g., Instragram, TikTok)",I prefer to plan everything myself.,Hotel,No,No,Yes,Yes,Yes,No,Yes,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
207,58,Male,Widowed,Unemployed,"A$30,000-A$59,999",0,Relaxation,"3,869",Ease of planning/ Convenience,1-4 weeks,"Search engines (e.g., Google)",I prefer a mix of both.,Hotel,No,No,No,Yes,No,No,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
208,59,Female,Single,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"6,651",Activities/ Attractions,3-6 months,Travel agents,I prefer a mix of both.,Hotel,No,No,Yes,Yes,No,No,Yes,Slightly important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
209,59,Female,Widowed,Employed full-time,"A$150,000 or more",0,Urban,"4,433","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Guidebooks,I prefer to plan everything myself.,Hotel,No,No,No,No,No,No,No,Not important at all,Not interested at all,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
210,59,Female,Married,Employed full-time,"A$150,000 or more",1-2 time(s),Relaxation,"5,813",Price,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Staying with friends or family,No,No,No,No,No,No,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
211,59,Male,Widowed,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"3,076",Ease of planning/ Convenience,1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,Yes,No,Yes,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
212,59,Male,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"5,915",Activities/ Attractions,More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,Camping/ RV,No,No,No,No,No,No,No,Important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
213,59,Female,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",0,Urban,"4,026",Culture/ Local experience,3-6 months,Travel agents,I prefer package tours.,Hotel,No,No,No,No,Yes,No,No,Not important at all,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
214,59,Female,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"3,171",Price,1-4 weeks,Travel agents,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,Yes,No,No,Yes,Slightly important,Not interested at all,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
215,60,Female,Widowed,Unemployed,"A$60,000-A$99,999",0,Relaxation,"4,533",Ease of planning/ Convenience,More than 6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,Yes,No,No,No,Slightly important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
216,60,Female,Married,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"5,334",Ease of planning/ Convenience,More than 6 months,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,No,No,Yes,No,Neutral,Not very interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
217,61,Female,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Cultural,"8,275",Activities/ Attractions,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hostel,No,No,No,Yes,Yes,No,No,Neutral,Not interested at all,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
